uai - identifiant,Libellé
0141432F,École supérieure d'arts et médias de Caen - Cherbourg
0602099F,École supérieure de chimie organique et minérale
0693623N,École supérieure de chimie physique électronique de Lyon
0920672F,École supérieure de fonderie et de forge
0593207R,École supérieure de journalisme de Lille
0490075R,École supérieure d'électronique de l'Ouest
0490076S,École supérieure des sciences commerciales d'Angers
0951214D,École supérieure des sciences économiques et commerciales
0783664J,École supérieure des techniques aéronautiques et de construction automobile
0900362E,École supérieure des technologies et des affaires
0641923T,École supérieure des technologies industrielles avancées
0753560M,École supérieure d'informatique électronique automatique
0142182W,École supérieure d'ingénieurs des travaux de la construction de Caen
0573389Z,École supérieure d'ingénieurs des travaux de la construction de Metz
0941954N,École supérieure d'ingénieurs des travaux de la construction de Paris
0801911T,École supérieure d'ingénieurs en électronique et électrotechnique d'Amiens
0762378X,École supérieure d'ingénieurs en génie électrique
0922563L,École supérieure d'ingénieurs Léonard-de-Vinci
0442278M,École supérieure du bois
0920674H,EPF - École d'ingénieurs
0753547Y,ESCP Europe
0932019P,ESIEE Paris
0171427J,Excelia Group
0490811R,Facultés libres de l'Ouest
0752139T,Facultés Libres de Philosophie et de Psychologie
,Groupe Institut catholique d'arts et métiers
0590343C,Groupe Institut supérieur d'agriculture de Lille
0673048Z,Haute École des arts du Rhin
0590348H,Hautes études d'ingénieur
0542455A,ICN Business School
0590344D,Institut catholique de Lille
0690195M,Institut catholique de Lyon
0753541S,Institut catholique de Paris
0352349N,Institut catholique de Rennes
0310155A,Institut catholique de Toulouse
0851415B,Institut catholique d'études supérieures
0753364Z,Institut d'administration des entreprises de Paris
0754493B,Institut de management et de communication interculturels
0593202K,Institut d'économie scientifique et de gestion
0690193K,"Institut d'enseignement supérieur et de recherche en alimentation, santé animale, sciences agronomiques et de l'environnement"
0492062A,Institut des relations publiques et de la communication d’Angers
0130221V,Institut d'études politiques d'Aix-en-Provence
0330192E,Institut d'études politiques de Bordeaux
0595876S,Institut d'études politiques de Lille
0690173N,Institut d'études politiques de Lyon
0753431X,Institut d'études politiques de Paris
0352317D,Institut d'études politiques de Rennes
0310133B,Institut d'études politiques de Toulouse
0870997L,Institut d'ingénierie informatique de Limoges
0771077C,Institut européen d'administration des affaires
3010001R,Institut français d'archéologie orientale du Caire
,"Institut national d'enseignement supérieur pour l'agriculture, l'alimentation et l'environnement"
0753488J,Institut national des langues et civilisations orientales
0180974L,Institut national des sciences appliquées Centre Val de Loire
0690192J,Institut national des sciences appliquées de Lyon
0350097R,Institut national des sciences appliquées de Rennes
0760165S,Institut national des sciences appliquées de Rouen
0670190T,Institut national des sciences appliquées de Strasbourg
0310152X,Institut national des sciences appliquées de Toulouse
0910685A,Institut national des sciences et techniques nucléaires
0755026F,Institut national d'histoire de l'art
0754446A,Institut national du patrimoine
0752559Z,"Institut national du sport, de l'expertise et de la performance"
0311381H,Institut national polytechnique de Toulouse
0922605G,Institut national supérieur de formation et de recherche pour l'éducation des jeunes handicapés et les enseignements adaptés
0212198A,"Institut national supérieur des sciences agronomiques, de l'alimentation et de l'environnement"
0811293R,Institut national universitaire Jean-François Champollion
0912403T,Institut polytechnique de Paris
0942144V,Institut polytechnique des sciences avancées
0600071B,Institut polytechnique UniLaSalle
0753605L,Institut protestant de théologie
0511556P,Institut régional du travail social de Champagne-Ardennes
0942193Y,Institut Sup'Biotech de Paris
0692353H,Institut supérieur d’agriculture Rhône-Alpes
0312760G,Institut supérieur de l'aéronautique et de l'espace
0292125C,Institut supérieur de l'électronique et du numérique de Brest
0930603A,Institut supérieur de mécanique de Paris
0753559L,Institut supérieur d'électronique de Paris
0310144N,Institut supérieur des arts de Toulouse
0721484X,Institut supérieur des matériaux du Mans
0130238N,Institut supérieur du bâtiment et des travaux publics
0750252S,Institut supérieur du commerce de Paris
0783690M,"Institut supérieur international du parfum, de la cosmétique et de l'aromatique alimentaire"
0693364G,Institut textile et chimique
0752792C,IPAG Business School
0951798N,ITESCIA
0333326L,KEDGE Business School
0171463Y,La Rochelle Université
0720916E,Le Mans Université
0340137P,Montpellier Business School
0753494R,Muséum national d'histoire naturelle
0760167U,Neoma Business School
0754595M,Pôle supérieur d'enseignement artistique Paris—Boulogne-Billancourt
0352305R,Rennes School of Business
0632033T,SIGMA Clermont
0590346F,Skema Business School
0755890V,Sorbonne Université
0310156B,Toulouse Business School
0331766R,Université Bordeaux-Montaigne
0691774D,Université Claude Bernard - Lyon 1
0632035V,Université Clermont Auvergne
0062205P,Université Côte d'Azur
0490970N,Université d'Angers
0623957P,Université d'Artois
0333298F,Université de Bordeaux
0211237F,Université de Bourgogne
0290346U,Université de Bretagne Occidentale
0561718N,Université de Bretagne-Sud
0141408E,Université de Caen Normandie
7200664J,Université de Corse Pasquale Paoli
0251215K,Université de Franche-Comté
9730429D,Université de Guyane
0681166Y,Université de Haute-Alsace
9830445S,Université de la Nouvelle-Calédonie
9840349G,Université de la Polynésie Française
9740478B,Université de La Réunion
0597065J,Université de Lille
0870669E,Université de Limoges
0542493S,Université de Lorraine
0342321N,Université de Montpellier
0440984F,Université de Nantes
0301687W,Université de Nîmes
0755976N,Université de Paris
0640251A,Université de Pau et des Pays de l'Adour
0660437S,Université de Perpignan - Via Domitia
0801344B,Université de Picardie Jules-Verne
0860856N,Université de Poitiers
0511296G,Université de Reims Champagne-Ardenne
0350936C,Université de Rennes 1
0761904G,Université de Rouen
0673021V,Université de Strasbourg
0900424X,Université de technologie de Belfort-Montbéliard
0601223D,Université de technologie de Compiègne
0101060Y,Université de technologie de Troyes
0830766G,Université de Toulon
0311384L,Université de Toulouse 3 - Paul Sabatier
0370800U,Université de Tours
0781944P,Université de Versailles Saint-Quentin-en-Yvelines
9710585J,Université des Antilles
0911975C,Université d'Évry-Val d'Essonne
0450855K,Université d'Orléans
0595964M,Université du Littoral Côte d'Opale
0383546Y,Université Grenoble Alpes
0772894C,Université Gustave Eiffel
0421095M,Université Jean Monnet
0692437Z,Université Jean Moulin - Lyon 3
0762762P,Université Le Havre Normandie
0691775E,Université Lumière - Lyon 2
0341089Z,Université Montpellier 3 - Paul-Valéry
0751718K,Université Panthéon-Assas
0751717J,Université Paris 1 - Panthéon Sorbonne
0931827F,Université Paris 8 - Vincennes - Saint-Denis
0921204J,Université Paris Nanterre
0756036D,Université Paris sciences et lettres
0941111X,Université Paris-Est Créteil Val-de-Marne
0912408Y,Université Paris-Saclay
0597132G,Université Polytechnique Hauts-de-France
0350937D,Université Rennes 2
0730858L,Université Savoie Mont Blanc
0751719L,Université Sorbonne Nouvelle - Paris 3
0931238R,Université Sorbonne Paris Nord
0311383K,Université Toulouse - Jean Jaurès
0311382J,Université Toulouse 1 - Capitole
0101059X,Y SCHOOLS
059YNCRE,Yncréa Hauts-de-France
0831458J,Yncréa Méditerranée
